date,equity,spot,realized_equity
2024-11-25,100000.0,54.02,100000.0
2024-11-26,100000.0,51.7,100000.0
2024-11-27,100000.0,55.03,100000.0
2024-11-29,100000.0,55.21,100000.0
2024-12-02,100000.0,54.48,100000.0
2024-12-03,100000.0,54.46,100000.0
2024-12-04,100000.0,56.42,100000.0
2024-12-05,100000.0,56.4,100000.0
2024-12-06,100505.2,57.8,100212.8
2024-12-09,100198.90000000001,54.73,100198.90000000001
2024-12-10,100198.90000000001,54.9,100198.90000000001
2024-12-11,100682.57500000001,57.72,100420.07500000001
2024-12-12,100667.57500000001,56.92,100667.57500000001
2024-12-13,100931.82500000001,57.91,100931.82500000001
2024-12-16,101627.6625,60.22,100931.82500000001
2024-12-17,101500.63750000001,60.73,101500.63750000001
2024-12-18,101500.63750000001,57.18,101500.63750000001
2024-12-19,101785.73750000002,54.72,101500.63750000001
2024-12-20,101967.4125,54.81,101709.33750000001
2024-12-23,101179.13750000001,52.87,101283.26250000001
2024-12-24,101513.73750000002,56.23,101283.26250000001
2024-12-26,101290.00000000001,54.3,101290.00000000001
2024-12-27,101290.00000000001,53.68,101290.00000000001
2024-12-30,101290.00000000001,53.55,101290.00000000001
2024-12-31,101689.02368974999,53.05,101423.02368974999
2025-01-02,101724.02368974999,55.37,101724.02368974999
2025-01-03,101724.02368974999,55.96,101724.02368974999
2025-01-06,101724.02368974999,58.17,101724.02368974999
2025-01-07,101724.02368974999,54.79,101724.02368974999
2025-01-08,101724.02368974999,53.34,101724.02368974999
2025-01-10,101724.02368974999,53.84,101724.02368974999
2025-01-13,101724.02368974999,53.22,101724.02368974999
2025-01-14,102068.27450885359,54.83,101901.82368974999
2025-01-15,102098.82368974999,56.64,102098.82368974999
2025-01-16,102098.82368974999,57.09,102098.82368974999
2025-01-17,102098.82368974999,59.62,102098.82368974999
2025-01-21,102451.74868974999,60.42,102098.82368974999
2025-01-22,102415.69868974999,59.38,102098.82368974999
2025-01-23,102211.11118974998,58.79,101952.28618974998
2025-01-24,102425.76118974997,59.7,102158.36118974998
2025-01-27,102131.06118974998,57.67,102131.06118974998
2025-01-28,102783.15381604954,57.58,102567.71631604954
2025-01-29,102875.85381604954,59.34,102875.85381604954
2025-01-30,103516.79131604954,59.72,103516.79131604954
2025-01-31,103516.79131604954,57.71,103516.79131604954
2025-02-03,103516.79131604954,57.58,103516.79131604954
2025-02-04,103820.94131604953,56.13,103516.79131604954
2025-02-05,104362.15381604954,55.33,103516.79131604954
2025-02-06,104312.56631604953,55.12,103516.79131604954
2025-02-07,104389.89131604954,54.47,104092.97881604954
2025-02-10,105475.71631604954,55.38,104725.57881604954
2025-02-11,105143.786494666,54.11,104725.57881604954
2025-02-12,105366.71631604954,55.16,104725.57881604954
2025-02-13,105326.06631604955,54.74,105006.95381604954
2025-02-14,105648.15381604954,55.33,105006.95381604954
2025-02-18,105141.92881604955,53.51,105057.57881604954
2025-02-19,105381.94131604955,54.65,105057.57881604954
2025-02-20,105459.11631604955,56.04,105459.11631604955
2025-02-21,105459.11631604955,53.92,105459.11631604955
2025-02-24,105534.71631604955,53.41,105534.71631604955
2025-02-25,105534.71631604955,50.03,105534.71631604955
2025-02-26,105534.71631604955,47.96,105534.71631604955
2025-02-27,105534.71631604955,47.35,105534.71631604955
2025-02-28,105534.71631604955,47.9,105534.71631604955
2025-03-03,105534.71631604955,48.9,105534.71631604955
2025-03-04,106094.14131604956,49.39,105735.71631604955
2025-03-05,106489.76631604956,51.44,106202.25381604956
2025-03-06,106512.24131604956,50.64,106202.25381604956
2025-03-07,106894.45381604956,49.43,106685.05381604956
2025-03-10,107454.25381604956,44.91,107454.25381604956
2025-03-11,107454.25381604956,47.24,107454.25381604956
2025-03-12,107454.25381604956,47.15,107454.25381604956
2025-03-13,107454.25381604956,45.52,107454.25381604956
2025-03-14,107454.25381604956,48.14,107454.25381604956
2025-03-17,107454.25381604956,48.06,107454.25381604956
2025-03-18,107454.25381604956,46.81,107454.25381604956
2025-03-19,107454.25381604956,48.61,107454.25381604956
2025-03-20,107454.25381604956,47.85,107454.25381604956
2025-03-21,107454.25381604956,47.7,107454.25381604956
2025-03-24,107454.25381604956,50.18,107454.25381604956
2025-03-25,107454.25381604956,50.14,107454.25381604956
2025-03-26,107454.25381604956,49.18,107454.25381604956
2025-03-27,107454.25381604956,49.44,107454.25381604956
2025-03-28,107454.25381604956,47.56,107454.25381604956
2025-03-31,107454.25381604956,46.81,107454.25381604956
2025-04-01,107454.25381604956,48.3,107454.25381604956
